,統一編號,商業名稱,商業地址,登記狀態,Type
13223,10385927,蕙鮨壽司店,臺北市松山區敦化北路155巷110號,核准設立,餐廳餐館
13225,10386475,風谷餐廳,臺北市中山區林森北路133巷55號,核准設立,餐廳餐館
13230,10386708,睿騏漢堡店,臺北市大同區昌吉街37號1樓,核准設立,餐廳餐館
13232,10386806,富滿堂豬腳極品專賣店,臺北市內湖區內湖路1段285巷10號,核准設立,餐廳餐館
13248,10387832,真好吃小吃店,臺北市文山區木新路3段107號,核准設立,餐廳餐館
13253,10389677,池田麵店,臺北市文山區景興路202巷17號2樓,核准設立,餐廳餐館
13255,10389888,豐勝小吃店,臺北市中山區松江路235巷36號1樓,核准設立,餐廳餐館
13258,10390576,大龍林家麵店,臺北市大同區大龍街268號,核准設立,餐廳餐館
13261,10391028,野薑花的店,臺北市大安區市民大道4段18號,核准設立,餐廳餐館
13264,10391272,哲安鯊魚麵店,臺北市中山區遼寧街27號,核准設立,餐廳餐館
13266,10391548,多味堂小吃店,臺北市大安區樂業街45號,核准設立,餐廳餐館
13275,10392075,麗珠小吃店,臺北市內湖區康寧路3段165巷12號,核准設立,餐廳餐館
13278,10392271,玖肆貳餐坊,臺北市萬華區雙園街68號,核准設立,餐廳餐館
13288,10396282,閃亮之星小吃店,臺北市文山區興隆路3段239號1樓,核准設立,餐廳餐館
13303,10397418,長壽三好庵餐坊,臺北市松山區南京東路3段256巷20弄1號,核准設立,餐廳餐館
13304,10397613,伊馨小館,臺北市中山區伊通街65號,核准設立,餐廳餐館
13306,10397803,松林美而美早餐店,臺北市大安區延吉街154號,核准設立,餐廳餐館
13307,10398991,三三活力早餐店,臺北市文山區木新路3段122號,核准設立,餐廳餐館
14053,10526497,宜津商行,臺北市內湖區江南街130號1樓,核准設立,餐廳餐館
14187,10547508,小義城美食店,臺北市松山區八德路4段709巷2之3號,核准設立,餐廳餐館
14412,10576812,恩花園小吃店,臺北市內湖區內湖路1段591巷10弄1之2號1樓,核准設立,餐廳餐館
15840,10789940,永騰企業社,臺北市士林區文林路340之1號1樓,核准設立,餐廳餐館
18090,12214978,七喜小吃店,臺北市中山區中原街20號1樓,核准設立,餐廳餐館
18970,13442438,小棧餐坊,臺北市松山區民生東路3段130巷6號1樓,核准設立,餐廳餐館
18975,13442922,如昌豆漿店,臺北市文山區忠順街1段119號1樓,核准設立,餐廳餐館
18976,13442958,佳珍自助餐店,臺北市文山區忠順街2段9號1樓,核准設立,餐廳餐館
18985,13445033,泰讚小吃店,臺北市中正區信義路2段285號2樓,核准設立,餐廳餐館
19016,13449501,上頂豬腳飯館,臺北市中山區松江路362巷42號1樓,核准設立,餐廳餐館
19029,13451766,春喜碳火燒肉店,臺北市大安區復興南路2段156號1樓,核准設立,餐廳餐館
19045,13453504,陶屋小吃店,臺北市萬華區康定路25巷42號,核准設立,餐廳餐館
19046,13453639,香香小吃店,臺北市士林區延平北路6段89號1樓,核准設立,餐廳餐館
19051,13454258,福皇宴港式美食小館,臺北市大安區四維路206號,核准設立,餐廳餐館
19066,13455587,四維自助餐店,臺北市文山區木新路3段309號1樓,核准設立,餐廳餐館
19070,13455910,阿伯蛋包麵店,臺北市萬華區雙園街88號1樓,核准設立,餐廳餐館
19071,13456050,森小館小吃店,臺北市信義區忠孝東路4段559巷18號1樓,核准設立,餐廳餐館
19087,13458402,沅緣小吃店,臺北市中正區沅陵街13號2樓,核准設立,餐廳餐館
19105,13460049,君一排骨專賣店,臺北市松山區敦化北路155巷2號1樓,核准設立,餐廳餐館
19117,13461011,李景魁早餐店,臺北市文山區興隆路3段112巷2弄33號1樓,核准設立,餐廳餐館
19123,13461960,秀真快餐店,臺北市內湖區內湖路1段323巷1弄2號1樓,核准設立,餐廳餐館
19142,13464707,天天倈小吃店,臺北市中山區南京東路1段132巷13號1樓,核准設立,餐廳餐館
19166,13467541,新天堂義大利麵廚房,臺北市大安區師大路59巷8號,核准設立,餐廳餐館
19214,13471783,稻之鄉清粥自助餐店,臺北市士林區社正路47號,核准設立,餐廳餐館
19216,13471881,小草廚房,臺北市士林區忠誠路2段70巷16號1樓,核准設立,餐廳餐館
19218,13472158,驛站小吃店,臺北市中山區遼寧街128巷1號1樓,核准設立,餐廳餐館
19221,13472657,老哥水餃館,臺北市中山區錦州街247號,核准設立,餐廳餐館
19234,13474162,富凱小吃店,臺北市萬華區和平西路3段198號,核准設立,餐廳餐館
19235,13474183,蘭陽土鵝肉店,臺北市松山區南京東路5段72號1樓,核准設立,餐廳餐館
19238,13474450,惠群餐廳,臺北市中山區林森北路138巷10號1樓,核准設立,餐廳餐館
19239,13474493,呂守崑早餐店,臺北市文山區興隆路2段244巷22號1樓,核准設立,餐廳餐館
19242,13475042,中華餡餅粥小吃店,臺北市萬華區昆明街211號1樓,核准設立,餐廳餐館
19247,13475839,華鈴清茶館,臺北市大同區民權西路308之1號1樓,核准設立,餐廳餐館
19251,13476274,富登餐廳,臺北市中山區復興北路48號地下室,核准設立,餐廳餐館
19268,13478104,廷羽小吃店,臺北市大安區通化街47號1樓,核准設立,餐廳餐館
19279,13479440,崟瑞行,臺北市中山區新生北路2段68巷11之2號,核准設立,餐廳餐館
20255,13690859,鼎岳工程企業社,臺北市大同區太原路112號1樓,核准設立,餐廳餐館
20935,13820298,克羅西歐飲食店,臺北市大安區和平東路1段141巷9之1號,核准設立,餐廳餐館
20952,13823773,和泰自助餐店,臺北市內湖區內湖路1段591巷6號1樓,核准設立,餐廳餐館
20967,13825060,庭如餐館名店,臺北市內湖區港墘路70號1樓,核准設立,餐廳餐館
20976,13826125,禾豐小吃店,臺北市松山區敦化北路165巷3號1樓,核准設立,餐廳餐館
20980,13826477,紅亞鍋燒小吃店,臺北市松山區延壽街395號1樓,核准設立,餐廳餐館
20982,13826693,林記小南門排骨店,臺北市中正區中華路2段39巷4號,核准設立,餐廳餐館
20983,13826835,永利小吃店,臺北市大同區大龍街196號,核准設立,餐廳餐館
20996,13828545,世心早餐店,臺北市文山區木柵路1段73號,核准設立,餐廳餐館
21026,13832421,貴隆餐館,臺北市萬華區貴陽街2段122號,核准設立,餐廳餐館
21061,13836307,陳春葉早餐店,臺北市大同區延平北路2段174號1樓,核准設立,餐廳餐館
21083,13837988,元氣小吃店,臺北市士林區天母東路50巷20之13號1樓,核准設立,餐廳餐館
21095,13839352,永旺美食坊,臺北市大安區和平東路2段271號1樓,核准設立,餐廳餐館
21098,13840301,彩逸樓餐飲店,臺北市中山區南京東路1段120號地下1樓,核准設立,餐廳餐館
21104,13840689,鹿港美食小吃店,臺北市內湖區文德路210巷30弄14號1樓,核准設立,餐廳餐館
21112,13841272,阿蘭小吃店,臺北市大安區光復南路280巷25號1樓,核准設立,餐廳餐館
21113,13841478,金九龍商行,臺北市士林區中正路235巷8號,核准設立,餐廳餐館
21114,13841505,橘色涮涮屋火鍋店大安分店,臺北市大安區大安路1段135號,核准設立,餐廳餐館
21120,13842096,千樺行,臺北市松山區光復北路28號1樓,核准設立,餐廳餐館
21138,13843519,日暮里小吃店,臺北市大安區大安路1段220巷3號1樓,核准設立,餐廳餐館
21140,13843665,賞音茶坊,臺北市中正區博愛路122號4樓之1,核准設立,餐廳餐館
21193,13847894,米之屋小吃店,臺北市松山區三民路113巷6號1樓,核准設立,餐廳餐館
21196,13848084,東晶企業商行,臺北市萬華區西園路2段342號1樓,核准設立,餐廳餐館
21199,13848177,金麟早餐店,臺北市內湖區金湖路411號1樓,核准設立,餐廳餐館
21202,13848275,民治小火鍋店,臺北市松山區三民路101巷2號1樓,核准設立,餐廳餐館
21204,13848520,豬腳張小吃店,臺北市大同區民族西路296號,核准設立,餐廳餐館
21206,13848649,華翠小吃店,臺北市萬華區長順街1號1樓,核准設立,餐廳餐館
21212,13849324,菘山冰品店,臺北市信義區松山路119巷36號1樓,核准設立,餐廳餐館
21216,13849963,千樂商行,臺北市信義區和平東路3段345號1樓,核准設立,餐廳餐館
21218,13850362,冰可冷飲店,臺北市中正區紹興南街4號之10、1樓,核准設立,餐廳餐館
21220,13850686,錦西早餐店,臺北市大同區錦西街88之1號,核准設立,餐廳餐館
21237,13852116,佳記食品行,臺北市中山區民生西路45巷9弄27號1樓,核准設立,餐廳餐館
21242,13852354,宏業早餐店,臺北市士林區社子街47號1樓,核准設立,餐廳餐館
21278,13854851,香津園小吃坊,臺北市內湖區民權東路6段90巷25弄5號,核准設立,餐廳餐館
21284,13855090,雲和泰小吃坊,臺北市松山區南京東路5段250巷3之5號1樓,核准設立,餐廳餐館
21299,13856350,川品小吃店,臺北市大安區復興南路1段107巷41號1樓,核准設立,餐廳餐館
